Calculation1,Campus,City,County,Fall Term,Measure Names,School,Measure Values
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2017,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2017,Adm GPA,FORT BRAGG HIGH SCHOOL,4.096666667
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.817272727
FORT BRAGG HIGH SCHOOL050955,Santa Barbara,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,4.0175
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,4.09
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.961666667
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.967142857
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2017,App GPA,FORT BRAGG HIGH SCHOOL,3.8325
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2016,Enrl GPA,FORT BRAGG HIGH SCHOOL,4.232
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,4.01875
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,4.135
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2016,Adm GPA,FORT BRAGG HIGH SCHOOL,3.993571429
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.95
FORT BRAGG HIGH SCHOOL050955,San Diego,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.991666667
FORT BRAGG HIGH SCHOOL050955,Los Angeles,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,4.084
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.914
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,4.05
